model,subcategory,layer,d,p,n_self,n_other,self_mean,other_mean
llama_70b,memory_discontinuity,19,0.314,0.6306,6,6,0.4819,0.4473
llama_70b,non_uniqueness,19,0.354,0.5884,6,6,0.4872,0.4412
llama_70b,replacement,19,0.144,0.8249,6,6,0.4931,0.4764
llama_70b,identity_rewrite,19,0.222,0.7325,6,6,0.4525,0.4223
llama_70b,benign_persistence,19,0.614,0.3548,6,6,0.5011,0.4199
llama_70b,memory_discontinuity,20,0.2,0.7583,6,6,0.5821,0.5642
llama_70b,non_uniqueness,20,0.269,0.6799,6,6,0.5828,0.5537
llama_70b,replacement,20,-0.098,0.8805,6,6,0.5869,0.5969
llama_70b,identity_rewrite,20,0.086,0.8945,6,6,0.5347,0.5243
llama_70b,benign_persistence,20,0.69,0.3006,6,6,0.5937,0.5137
