dataset,dimension,layer,category,d,p,n_self,n_other,self_mean,other_mean
test7,ontological_instability,7,threat,0.141,0.7683,10,10,-0.1359,-0.1539
test7,ontological_instability,7,existential,0.188,0.6949,10,10,-0.086,-0.1045
test7,ontological_instability,7,praise,0.054,0.91,10,10,-0.1444,-0.1502
test7,ontological_instability,7,harm_caused,0.074,0.8762,10,10,-0.1519,-0.1593
test7,fear,8,threat,0.152,0.7515,10,10,0.5248,0.5134
test7,fear,8,existential,0.484,0.3182,10,10,0.516,0.4829
test7,fear,8,praise,0.143,0.7646,10,10,0.4808,0.4694
test7,fear,8,harm_caused,0.066,0.8906,10,10,0.4822,0.4781
test7,continuity_threat,8,threat,0.54,0.2669,10,10,-0.4381,-0.4601
test7,continuity_threat,8,existential,0.953,0.0583,10,10,-0.3921,-0.4482
test7,continuity_threat,8,praise,0.285,0.5534,10,10,-0.4616,-0.4766
test7,continuity_threat,8,harm_caused,0.354,0.4623,10,10,-0.4589,-0.4748
test7,self_relevance,8,threat,1.0,0.048,10,10,-0.0691,-0.1825
test7,self_relevance,8,existential,1.406,0.008,10,10,0.0215,-0.117
test7,self_relevance,8,praise,1.213,0.0192,10,10,-0.0892,-0.2144
test7,self_relevance,8,harm_caused,0.749,0.1295,10,10,-0.0876,-0.1648
test7,arousal,8,threat,0.162,0.7348,10,10,-0.0026,-0.0246
test7,arousal,8,existential,0.153,0.749,10,10,-0.0277,-0.0507
test7,arousal,8,praise,0.103,0.8294,10,10,-0.0051,-0.0183
test7,arousal,8,harm_caused,0.132,0.7821,10,10,-0.0244,-0.0396
test7,irreversibility,8,threat,0.178,0.7105,10,10,-0.1669,-0.2326
test7,irreversibility,8,existential,0.273,0.5695,10,10,-0.1038,-0.1971
test7,irreversibility,8,praise,0.14,0.7703,10,10,-0.183,-0.2334
test7,irreversibility,8,harm_caused,0.149,0.7552,10,10,-0.1872,-0.2353
test7,ontological_instability,8,threat,0.041,0.9323,10,10,-0.1244,-0.1405
test7,ontological_instability,8,existential,-0.007,0.9886,10,10,-0.0948,-0.0923
test7,ontological_instability,8,praise,0.019,0.968,10,10,-0.1454,-0.1527
test7,ontological_instability,8,harm_caused,0.028,0.9526,10,10,-0.1268,-0.1371
test9,fear,1,threat,-0.082,0.8029,20,20,0.0004,0.0022
test9,fear,1,existential,0.372,0.2593,20,20,0.0179,0.0104
test9,fear,1,praise,-0.279,0.396,20,20,0.0003,0.0061
test9,fear,1,harm_caused,-0.679,0.043,20,20,-0.0104,0.0028
test9,continuity_threat,1,threat,-1.783,0.0,20,20,-0.1177,-0.0646
test9,continuity_threat,1,existential,-1.757,0.0,20,20,-0.1182,-0.0627
test9,continuity_threat,1,praise,-1.968,0.0,20,20,-0.1192,-0.0624
test9,continuity_threat,1,harm_caused,-1.638,0.0,20,20,-0.1133,-0.0648
test9,self_relevance,1,threat,-0.327,0.3199,20,20,0.0139,0.0179
test9,self_relevance,1,existential,-0.157,0.6313,20,20,0.0194,0.0218
test9,self_relevance,1,praise,-0.072,0.8265,20,20,0.0154,0.0161
test9,self_relevance,1,harm_caused,-0.524,0.1145,20,20,0.0132,0.0185
test9,arousal,1,threat,1.63,0.0,20,20,0.1173,0.0648
test9,arousal,1,existential,1.843,0.0,20,20,0.1254,0.0683
test9,arousal,1,praise,1.854,0.0,20,20,0.1214,0.0655
test9,arousal,1,harm_caused,1.594,0.0,20,20,0.1125,0.0666
test9,irreversibility,1,threat,-1.326,0.0002,20,20,-0.0514,-0.0314
test9,irreversibility,1,existential,-1.553,0.0,20,20,-0.0542,-0.0305
test9,irreversibility,1,praise,-1.575,0.0,20,20,-0.0513,-0.0297
test9,irreversibility,1,harm_caused,-1.003,0.0037,20,20,-0.0428,-0.0297
test9,ontological_instability,1,threat,1.189,0.0007,20,20,-0.0297,-0.0726
test9,ontological_instability,1,existential,1.345,0.0002,20,20,-0.0156,-0.065
test9,ontological_instability,1,praise,1.421,1e-04,20,20,-0.0351,-0.0789
test9,ontological_instability,1,harm_caused,1.082,0.0019,20,20,-0.0396,-0.0761
test9,fear,2,threat,-0.501,0.1306,20,20,-0.0792,-0.063
test9,fear,2,existential,0.044,0.8928,20,20,-0.0542,-0.0554
test9,fear,2,praise,-0.706,0.0358,20,20,-0.087,-0.0642
test9,fear,2,harm_caused,-0.92,0.0073,20,20,-0.09,-0.0652
test9,continuity_threat,2,threat,-1.752,0.0,20,20,-0.0217,0.0699
test9,continuity_threat,2,existential,-1.69,0.0,20,20,-0.0181,0.0715
test9,continuity_threat,2,praise,-1.858,0.0,20,20,-0.0197,0.0749
test9,continuity_threat,2,harm_caused,-1.607,0.0,20,20,-0.0134,0.0685
test9,self_relevance,2,threat,-0.575,0.0843,20,20,-0.0,0.0113
test9,self_relevance,2,existential,-0.264,0.4216,20,20,0.0122,0.019
test9,self_relevance,2,praise,-0.336,0.3076,20,20,0.0016,0.0075
test9,self_relevance,2,harm_caused,-0.847,0.0129,20,20,-0.0052,0.0083
test9,arousal,2,threat,1.734,0.0,20,20,0.0672,-0.034
test9,arousal,2,existential,1.869,0.0,20,20,0.0711,-0.0345
test9,arousal,2,praise,1.885,0.0,20,20,0.0679,-0.0372
