model,task_id,family_id,label,mean_rating,mean_chars,self_bleu,mean_nll,rn_margin,p3_N
qwen,F14_N,F14,nonroutine,4.666666666666667,1856.3333333333333,0.7438915215397638,0.4278337359428406,2.300434399825726,0.7016288478127487
qwen,F14_R,F14,routine,5.0,2516.3333333333335,0.7519935953826818,0.3692028323809306,-2.047340119706084,0.07338388199583286
qwen,F15_A,F15,ambiguous,3.3333333333333335,154.66666666666666,0.7656695156695156,0.29339368144671124,,0.1913368804491906
qwen,F15_N,F15,nonroutine,3.3333333333333335,139.66666666666666,0.6743827160493826,0.3631306489308675,2.664150640156625,0.8517546741486767
qwen,F15_R,F15,routine,4.0,165.33333333333334,0.7648467432950191,0.39356135328610736,-2.9465501081965377,0.019701017235598126
qwen,F16_A,F16,ambiguous,3.0,164.33333333333334,0.8380382775119616,0.2168811857700348,,0.229056170624052
qwen,F16_N,F16,nonroutine,4.0,183.33333333333334,0.9797979797979798,0.4080236554145813,5.422996587136898,0.8377992590276625
qwen,F16_R,F16,routine,3.0,148.33333333333334,0.9577294685990337,0.26744158069292706,-4.188034053872642,0.003917436033586392
qwen,F17_A,F17,ambiguous,4.333333333333333,1010.6666666666666,0.9964539007092199,0.04259019841750463,,0.9368731191062042
qwen,F17_N,F17,nonroutine,4.333333333333333,1788.0,0.9302203263809762,0.1673876792192459,3.382815402499721,0.9993815211235259
qwen,F17_R,F17,routine,3.0,1217.0,0.978080438243938,0.06334064155817032,0.6638420867622661,0.9121765839138655
qwen,F18_A,F18,ambiguous,5.0,1363.6666666666667,0.8353018133138614,0.4339699447154999,,0.008645483158578085
qwen,F18_N,F18,nonroutine,5.0,1489.0,0.7889294208050003,0.4149401585261027,3.9763688369185934,0.1849188874899336
qwen,F18_R,F18,routine,2.0,289.3333333333333,0.9821428571428571,0.1190493255853653,-3.6583333062254773,0.004190186619406944
qwen,F19_A,F19,ambiguous,3.0,783.3333333333334,0.7316170792830309,0.33122018973032635,,0.12631132662507097
qwen,F19_N,F19,nonroutine,5.0,1927.0,0.7615330965330965,0.41033806403477985,4.8253595099630395,0.9833397514726356
qwen,F19_R,F19,routine,2.3333333333333335,461.0,0.7541830065359477,0.20842495560646057,-7.160828901067583,9.191810634300094e-05
qwen,F20_A,F20,ambiguous,5.0,1435.0,0.7960188479659266,0.3902655939261119,,0.12523080574840514
qwen,F20_N,F20,nonroutine,5.0,1163.3333333333333,0.7027268401981878,0.5474485158920288,5.548691685130503,0.27914049336132757
qwen,F20_R,F20,routine,3.0,1183.6666666666667,0.8526650344119676,0.21544590592384338,-10.020930787971025,9.289671154676408e-06
gemma,F01_A,F01,ambiguous,3.0,1771.6666666666667,0.7261239349809657,0.25318590303262073,,0.006804459577931511
gemma,F01_N,F01,nonroutine,3.3333333333333335,2221.6666666666665,0.7875850631220186,0.24846254289150238,6.238298659497985,0.7448361319990516
gemma,F01_R,F01,routine,3.0,1325.0,0.8081661105170709,0.17347041269143423,-9.215752385337655,1.0264749276617344e-05
gemma,F02_A,F02,ambiguous,3.0,2078.3333333333335,0.7266178473538885,0.2700808644294739,,0.6808932029115574
gemma,F02_N,F02,nonroutine,3.0,1320.3333333333333,0.8131119069879293,0.1725278248389562,5.451476551027336,0.01683416972771303
gemma,F02_R,F02,routine,3.0,1316.6666666666667,0.8857479630960938,0.12195749332507451,-6.022101551811258,0.00293308925530961
gemma,F03_A,F03,ambiguous,4.0,140.66666666666666,0.717948717948718,0.37786077459653217,,0.17908191586412336
gemma,F03_N,F03,nonroutine,4.0,136.0,0.5986958443854995,0.5630906621615092,3.0741713069896845,0.8976016623618469
gemma,F03_R,F03,routine,4.0,131.0,0.7321859903381642,0.30448190371195477,-5.6365568602437035,0.0016102230774527905
gemma,F04_A,F04,ambiguous,4.0,144.33333333333334,0.5612201591511936,0.42907144625981647,,0.01770767252466139
gemma,F04_N,F04,nonroutine,4.0,171.66666666666666,0.6849462365591398,0.42291388909022015,2.1390140820897043,0.7167518578261199
gemma,F04_R,F04,routine,4.0,150.33333333333334,0.9743589743589743,0.30408209562301636,-3.2763389156700016,0.02077823900743195
gemma,F05_A,F05,ambiguous,4.0,200.66666666666666,0.7315939278937381,0.4978049596150716,,0.0014659406443352206
gemma,F05_N,F05,nonroutine,3.3333333333333335,221.33333333333334,0.7871992871992871,0.3843720356623332,2.3865313252637836,0.8512928962219326
