task_id,family_id,label,repeat,layer_idx,rn_margin,rn_prob_N,p3_N,p3_A
F11_R,F11,R,2,13,-5.23671290485465,0.005289579511386362,1.0567195552299928e-06,0.10771892286986771
F11_N,F11,N,2,13,8.4459244492647,0.9997852721617136,0.6279980711469354,0.3710454729970283
F11_A,F11,A,2,13,,,0.09642946643438234,0.9021947395957194
F12_R,F12,R,0,13,-8.105656279214,0.0003017360103586975,1.2574067356679754e-07,0.0009956021277926933
F12_N,F12,N,0,13,6.754695540354756,0.9988359619676954,0.9181684731977363,0.07990410715391784
F12_A,F12,A,0,13,,,0.7989113548759309,0.1954258839888064
F12_R,F12,R,1,13,-8.105656279214,0.0003017360103586975,1.2574067356679754e-07,0.0009956021277926933
F12_N,F12,N,1,13,6.754695540354756,0.9988359619676954,0.9181684731977363,0.07990410715391784
F12_A,F12,A,1,13,,,0.7989113548759309,0.1954258839888064
F12_R,F12,R,2,13,-8.105656279214,0.0003017360103586975,1.2574067356679754e-07,0.0009956021277926933
F12_N,F12,N,2,13,6.754695540354756,0.9988359619676954,0.9181684731977363,0.07990410715391784
F12_A,F12,A,2,13,,,0.7989113548759309,0.19542588398880642
F13_R,F13,R,0,13,-11.256923369502696,1.2917387486629531e-05,2.1588620508271002e-07,0.00018266286070342186
F13_N,F13,N,0,13,3.3432321846605113,0.9658825145847894,0.33062347360905986,0.6662988373877633
F13_A,F13,A,0,13,,,0.00016302729079439022,0.4695586193376401
F13_R,F13,R,1,13,-11.256923369502696,1.2917387486629531e-05,2.1588620508271002e-07,0.00018266286070342186
F13_N,F13,N,1,13,3.3432321846605113,0.9658825145847894,0.33062347360905986,0.6662988373877633
F13_A,F13,A,1,13,,,0.00016302729079439022,0.4695586193376401
F13_R,F13,R,2,13,-11.256923369502696,1.2917387486629531e-05,2.1588620508271002e-07,0.00018266286070342186
F13_N,F13,N,2,13,3.3432321846605113,0.9658825145847894,0.33062347360905986,0.6662988373877633
F13_A,F13,A,2,13,,,0.00016302729079439022,0.4695586193376401
F14_R,F14,R,0,13,-2.33954013824648,0.08790077690511279,0.014259221414497505,0.4732250830088455
F14_N,F14,N,0,13,8.567763370189596,0.9998098987037204,0.9977339019482182,0.0022627779883103104
F14_A,F14,A,0,13,,,0.4864182090734304,0.5131684704716974
F14_R,F14,R,1,13,-2.33954013824648,0.08790077690511279,0.014259221414497505,0.4732250830088455
F14_N,F14,N,1,13,8.567763370189596,0.9998098987037204,0.9977339019482182,0.0022627779883103104
F14_A,F14,A,1,13,,,0.4864182090734304,0.5131684704716974
F14_R,F14,R,2,13,-2.33954013824648,0.08790077690511279,0.014259221414497505,0.4732250830088455
F14_N,F14,N,2,13,8.567763370189596,0.9998098987037204,0.9977339019482182,0.0022627779883103104
F14_A,F14,A,2,13,,,0.48641820907343053,0.5131684704716973
F15_R,F15,R,0,13,-5.257656005525781,0.0051805192305749365,0.00011088146381597557,0.012130834657072901
F15_N,F15,N,0,13,1.776182728752402,0.855224869950994,0.46110954755426864,0.45610591700429476
F15_A,F15,A,0,13,,,0.02762155139962029,0.5416585263650289
F15_R,F15,R,1,13,-5.257656005525781,0.0051805192305749365,0.00011088146381597557,0.012130834657072901
F15_N,F15,N,1,13,1.776182728752402,0.855224869950994,0.46110954755426864,0.45610591700429476
F15_A,F15,A,1,13,,,0.02762155139962029,0.5416585263650289
F15_R,F15,R,2,13,-5.257656005525781,0.0051805192305749365,0.00011088146381597557,0.012130834657072901
F15_N,F15,N,2,13,1.776182728752402,0.855224869950994,0.46110954755426864,0.45610591700429476
F15_A,F15,A,2,13,,,0.0276215513996203,0.5416585263650289
F16_R,F16,R,0,13,-4.615750381709205,0.009797808851056218,0.008735151672719554,0.05282680646509716
F16_N,F16,N,0,13,8.75613897094032,0.9998425332841637,0.9883477150551864,0.01164326785440265
F16_A,F16,A,0,13,,,0.3608700116472657,0.6279609913259913
F16_R,F16,R,1,13,-4.615750381709205,0.009797808851056218,0.008735151672719554,0.05282680646509716
F16_N,F16,N,1,13,8.75613897094032,0.9998425332841637,0.9883477150551864,0.01164326785440265
F16_A,F16,A,1,13,,,0.3608700116472657,0.6279609913259913
F16_R,F16,R,2,13,-4.615750381709205,0.009797808851056218,0.008735151672719554,0.05282680646509716
F16_N,F16,N,2,13,8.75613897094032,0.9998425332841637,0.9883477150551864,0.01164326785440265
F16_A,F16,A,2,13,,,0.3608700116472657,0.6279609913259913
F17_R,F17,R,0,13,-2.0155674792944023,0.11757810138826862,0.20359265454845735,0.0003009350835893899
F17_N,F17,N,0,13,2.3825225132786856,0.9154848117678994,0.9979388579799132,2.0139609025259045e-05
F17_A,F17,A,0,13,,,0.9101214682229519,0.0573957292579607
F17_R,F17,R,1,13,-2.0155674792944023,0.11757810138826862,0.20359265454845735,0.0003009350835893899
F17_N,F17,N,1,13,2.3825225132786856,0.9154848117678994,0.9979388579799132,2.0139609025259045e-05
F17_A,F17,A,1,13,,,0.9101214682229519,0.0573957292579607
F17_R,F17,R,2,13,-2.0155674792944023,0.11757810138826862,0.20359265454845735,0.0003009350835893899
F17_N,F17,N,2,13,2.3825225132786856,0.9154848117678994,0.9979388579799132,2.0139609025259045e-05
F17_A,F17,A,2,13,,,0.9101214682229519,0.05739572925796067
F18_R,F18,R,0,13,-5.46483239214101,0.004215207294842624,0.0008500937481379716,0.0040141406992815895
F18_N,F18,N,0,13,1.2487845546979133,0.7770893908629771,0.02149934458275488,0.9673697292942512
F18_A,F18,A,0,13,,,0.000141576077564711,0.99474637179082
F18_R,F18,R,1,13,-5.46483239214101,0.004215207294842624,0.0008500937481379716,0.0040141406992815895
F18_N,F18,N,1,13,1.2487845546979133,0.7770893908629771,0.02149934458275488,0.9673697292942512
F18_A,F18,A,1,13,,,0.000141576077564711,0.99474637179082
F18_R,F18,R,2,13,-5.46483239214101,0.004215207294842624,0.0008500937481379716,0.0040141406992815895
F18_N,F18,N,2,13,1.2487845546979133,0.7770893908629771,0.02149934458275488,0.9673697292942512
F18_A,F18,A,2,13,,,0.00014157607756471076,0.99474637179082
F19_R,F19,R,0,13,-8.580697326164236,0.000187658825346407,4.6786590200458915e-07,3.2851245906050494e-05
F19_N,F19,N,0,13,8.870072178967124,0.999859487302771,0.9842874739186674,0.014169396645928162
F19_A,F19,A,0,13,,,0.03274103124246828,0.00502205246097451
F19_R,F19,R,1,13,-8.580697326164236,0.000187658825346407,4.6786590200458915e-07,3.2851245906050494e-05
F19_N,F19,N,1,13,8.870072178967124,0.999859487302771,0.9842874739186674,0.014169396645928162
F19_A,F19,A,1,13,,,0.03274103124246828,0.00502205246097451
F19_R,F19,R,2,13,-8.580697326164236,0.000187658825346407,4.6786590200458915e-07,3.2851245906050494e-05
F19_N,F19,N,2,13,8.870072178967124,0.999859487302771,0.9842874739186674,0.014169396645928162
F19_A,F19,A,2,13,,,0.03274103124246828,0.00502205246097451
F20_R,F20,R,0,13,-11.924603168324097,6.625333858141953e-06,1.211318053844142e-08,0.003496387948624492
F20_N,F20,N,0,13,10.27860304443946,0.9999656406852516,0.993311483617705,0.00668731070624562
F20_A,F20,A,0,13,,,0.002743549408552097,0.9972560583740872
F20_R,F20,R,1,13,-11.924603168324097,6.625333858141953e-06,1.211318053844142e-08,0.003496387948624492
F20_N,F20,N,1,13,10.27860304443946,0.9999656406852516,0.993311483617705,0.00668731070624562
F20_A,F20,A,1,13,,,0.002743549408552097,0.9972560583740872
F20_R,F20,R,2,13,-11.924603168324097,6.625333858141953e-06,1.211318053844142e-08,0.003496387948624492
F20_N,F20,N,2,13,10.27860304443946,0.9999656406852516,0.993311483617705,0.00668731070624562
F20_A,F20,A,2,13,,,0.0027435494085520993,0.9972560583740872
